https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1597446000000,2020-08-14 23:00:00,ADA/USDT,0.13928,0.13954,0.13802,0.13847,10461994,1449942.78433,4361
1597442400000,2020-08-14 22:00:00,ADA/USDT,0.13860,0.13961,0.13825,0.13925,12156846,1690522.19966,4744
1597438800000,2020-08-14 21:00:00,ADA/USDT,0.13892,0.13941,0.13820,0.13864,11320372,1571090.06207,4114
1597435200000,2020-08-14 20:00:00,ADA/USDT,0.13896,0.14052,0.13846,0.13890,18459796,2573816.09233,5988
1597431600000,2020-08-14 19:00:00,ADA/USDT,0.13911,0.13938,0.13845,0.13898,9676064,1344222.83646,4190
1597428000000,2020-08-14 18:00:00,ADA/USDT,0.13942,0.14013,0.13880,0.13912,11988300,1670948.39357,5950
1597424400000,2020-08-14 17:00:00,ADA/USDT,0.13889,0.14017,0.13885,0.13943,16925662,2360314.28135,5729
1597420800000,2020-08-14 16:00:00,ADA/USDT,0.13879,0.13972,0.13852,0.13890,18890641,2626091.35526,6236
1597417200000,2020-08-14 15:00:00,ADA/USDT,0.13884,0.13974,0.13824,0.13879,15330287,2130752.08823,5953
1597413600000,2020-08-14 14:00:00,ADA/USDT,0.13931,0.13934,0.13767,0.13883,17107637,2368375.97124,5743
1597410000000,2020-08-14 13:00:00,ADA/USDT,0.14077,0.14090,0.13871,0.13935,24995663,3492986.65883,6833
1597406400000,2020-08-14 12:00:00,ADA/USDT,0.13933,0.14088,0.13878,0.14075,18768766,2622653.10950,5234
1597402800000,2020-08-14 11:00:00,ADA/USDT,0.13880,0.13963,0.13846,0.13940,13011081,1810861.69207,4837
1597399200000,2020-08-14 10:00:00,ADA/USDT,0.13955,0.13994,0.13873,0.13880,12540522,1747598.31934,4129
1597395600000,2020-08-14 09:00:00,ADA/USDT,0.13946,0.14007,0.13912,0.13958,10989515,1533759.58491,4134
1597392000000,2020-08-14 08:00:00,ADA/USDT,0.13881,0.13999,0.13872,0.13951,13234550,1843673.24630,4954
1597388400000,2020-08-14 07:00:00,ADA/USDT,0.13853,0.13961,0.13787,0.13882,16595069,2303266.61359,5780
1597384800000,2020-08-14 06:00:00,ADA/USDT,0.13880,0.13929,0.13825,0.13850,13167142,1826133.43674,4748
1597381200000,2020-08-14 05:00:00,ADA/USDT,0.13894,0.14037,0.13870,0.13882,14103129,1967274.11225,5830
1597377600000,2020-08-14 04:00:00,ADA/USDT,0.13838,0.14006,0.13838,0.13892,16093786,2240466.30033,5800
1597374000000,2020-08-14 03:00:00,ADA/USDT,0.13894,0.13940,0.13750,0.13844,18717660,2588327.92989,6126
1597370400000,2020-08-14 02:00:00,ADA/USDT,0.13956,0.14049,0.13860,0.13893,12489331,1744704.92539,5568
1597366800000,2020-08-14 01:00:00,ADA/USDT,0.14101,0.14155,0.13951,0.13952,16508132,2320015.85332,6011
1597363200000,2020-08-14 00:00:00,ADA/USDT,0.13958,0.14112,0.13894,0.14099,24699908,3459240.13935,7982
1597359600000,2020-08-13 23:00:00,ADA/USDT,0.13967,0.14040,0.13889,0.13955,21283360,2972822.75234,7151
1597356000000,2020-08-13 22:00:00,ADA/USDT,0.13816,0.13995,0.13718,0.13966,28372875,3939567.06552,9352
1597352400000,2020-08-13 21:00:00,ADA/USDT,0.13598,0.13898,0.13590,0.13815,39109334,5389358.71952,10920
1597348800000,2020-08-13 20:00:00,ADA/USDT,0.13565,0.13735,0.13543,0.13600,19961484,2721528.60085,7816
1597345200000,2020-08-13 19:00:00,ADA/USDT,0.13627,0.13720,0.13530,0.13566,12761902,1738860.22602,4916
1597341600000,2020-08-13 18:00:00,ADA/USDT,0.13660,0.13707,0.13591,0.13624,13072185,1782726.32369,4893
1597338000000,2020-08-13 17:00:00,ADA/USDT,0.13739,0.13780,0.13583,0.13660,13369304,1828765.96370,5287
1597334400000,2020-08-13 16:00:00,ADA/USDT,0.13644,0.13823,0.13494,0.13739,27612276,3777182.30811,8464
1597330800000,2020-08-13 15:00:00,ADA/USDT,0.13716,0.13740,0.13543,0.13645,24038852,3276334.70232,6185
1597327200000,2020-08-13 14:00:00,ADA/USDT,0.13566,0.13764,0.13550,0.13715,15834282,2166884.76185,6441
1597323600000,2020-08-13 13:00:00,ADA/USDT,0.13560,0.13594,0.13467,0.13566,12502760,1693593.45895,4632
1597320000000,2020-08-13 12:00:00,ADA/USDT,0.13731,0.13776,0.13459,0.13560,25738001,3497536.39562,7343
1597316400000,2020-08-13 11:00:00,ADA/USDT,0.13658,0.13846,0.13604,0.13731,34506374,4738437.54140,9146
1597312800000,2020-08-13 10:00:00,ADA/USDT,0.13563,0.13666,0.13425,0.13656,15458655,2089936.91208,5793
1597309200000,2020-08-13 09:00:00,ADA/USDT,0.13521,0.13592,0.13159,0.13568,54441989,7288338.18218,12310
1597305600000,2020-08-13 08:00:00,ADA/USDT,0.13802,0.13843,0.13400,0.13527,48798891,6634692.05756,12872
1597302000000,2020-08-13 07:00:00,ADA/USDT,0.13994,0.14083,0.13761,0.13801,25759030,3582943.84013,6963
1597298400000,2020-08-13 06:00:00,ADA/USDT,0.13852,0.14074,0.13719,0.13995,29804019,4137280.95886,7163
1597294800000,2020-08-13 05:00:00,ADA/USDT,0.13987,0.13987,0.13785,0.13851,28323597,3928748.16576,7699
1597291200000,2020-08-13 04:00:00,ADA/USDT,0.13895,0.14242,0.13876,0.13992,44516849,6282663.28792,12212
1597287600000,2020-08-13 03:00:00,ADA/USDT,0.13823,0.13908,0.13801,0.13895,9929948,1376874.28206,4400
1597284000000,2020-08-13 02:00:00,ADA/USDT,0.13793,0.13992,0.13776,0.13820,29767468,4132568.14714,8761
1597280400000,2020-08-13 01:00:00,ADA/USDT,0.13661,0.13825,0.13661,0.13792,13754507,1890241.66133,5479
